time,delta_s_km3
10/31/1973_24:00,0
11/30/1973_24:00,0.111243614
12/31/1973_24:00,0.190491744
01/31/1974_24:00,0.314179937
02/28/1974_24:00,0.342267881
03/31/1974_24:00,0.449895548
04/30/1974_24:00,0.509322024
05/31/1974_24:00,0.464580004
06/30/1974_24:00,0.420105032
07/31/1974_24:00,0.397942357
08/31/1974_24:00,0.368771172
09/30/1974_24:00,0.359738891
10/31/1974_24:00,0.36651526
11/30/1974_24:00,0.368752053
12/31/1974_24:00,0.379611858
01/31/1975_24:00,0.376741303
02/28/1975_24:00,0.410794972
03/31/1975_24:00,0.44289925
04/30/1975_24:00,0.426440062
05/31/1975_24:00,0.407087255
06/30/1975_24:00,0.361913393
07/31/1975_24:00,0.31495555
08/31/1975_24:00,0.28938995
09/30/1975_24:00,0.281232453
10/31/1975_24:00,0.290271025
11/30/1975_24:00,0.296569297
12/31/1975_24:00,0.308742264
01/31/1976_24:00,0.298734424
02/29/1976_24:00,0.289470743
03/31/1976_24:00,0.264810517
04/30/1976_24:00,0.250127171
05/31/1976_24:00,0.187147533
06/30/1976_24:00,0.123814872
07/31/1976_24:00,0.070588483
08/31/1976_24:00,0.041784875
09/30/1976_24:00,0.044942214
10/31/1976_24:00,0.02957552
11/30/1976_24:00,0.031140066
12/31/1976_24:00,0.036825299
01/31/1977_24:00,0.041662884
02/28/1977_24:00,0.03966366
03/31/1977_24:00,0.019524878
04/30/1977_24:00,-0.026060842
05/31/1977_24:00,-0.089975212
06/30/1977_24:00,-0.163918514
07/31/1977_24:00,-0.227471474
08/31/1977_24:00,-0.281916911
09/30/1977_24:00,-0.287295624
10/31/1977_24:00,-0.321306122
11/30/1977_24:00,-0.308447093
12/31/1977_24:00,-0.266476085
01/31/1978_24:00,-0.161524329
02/28/1978_24:00,-0.103420391
03/31/1978_24:00,-0.006935118
04/30/1978_24:00,0.020582834
05/31/1978_24:00,0.013537936
06/30/1978_24:00,-0.016185108
07/31/1978_24:00,-0.036314638
08/31/1978_24:00,-0.049200063
09/30/1978_24:00,-0.032280418
10/31/1978_24:00,-0.042858496
11/30/1978_24:00,-0.032881246
12/31/1978_24:00,-0.020083645
01/31/1979_24:00,0.019037777
02/28/1979_24:00,0.073476307
03/31/1979_24:00,0.111556671
04/30/1979_24:00,0.115308301
05/31/1979_24:00,0.103533377
06/30/1979_24:00,0.068604924
07/31/1979_24:00,0.034605528
08/31/1979_24:00,0.016488914
09/30/1979_24:00,0.015805443
10/31/1979_24:00,0.033678938
11/30/1979_24:00,0.055390776
12/31/1979_24:00,0.096637731
01/31/1980_24:00,0.237308724
02/29/1980_24:00,0.348382488
03/31/1980_24:00,0.392493213
04/30/1980_24:00,0.379810941
05/31/1980_24:00,0.347105096
06/30/1980_24:00,0.306231639
07/31/1980_24:00,0.254633567
08/31/1980_24:00,0.212520216
09/30/1980_24:00,0.197512465
10/31/1980_24:00,0.182707375
11/30/1980_24:00,0.177631481
12/31/1980_24:00,0.194351303
01/31/1981_24:00,0.229721465
02/28/1981_24:00,0.240936018
03/31/1981_24:00,0.268153001
04/30/1981_24:00,0.234448654
05/31/1981_24:00,0.188140237
06/30/1981_24:00,0.119275419
07/31/1981_24:00,0.064991321
08/31/1981_24:00,0.017369372
09/30/1981_24:00,0.019014588
10/31/1981_24:00,0.02974167
11/30/1981_24:00,0.111323544
12/31/1981_24:00,0.237233728
01/31/1982_24:00,0.31341333
02/28/1982_24:00,0.398430199
03/31/1982_24:00,0.455120939
04/30/1982_24:00,0.521823837
05/31/1982_24:00,0.483813288
06/30/1982_24:00,0.422630829
07/31/1982_24:00,0.365918009
08/31/1982_24:00,0.328204728
09/30/1982_24:00,0.331239829
10/31/1982_24:00,0.335821714
11/30/1982_24:00,0.366746415
12/31/1982_24:00,0.435812414
01/31/1983_24:00,0.512350958
02/28/1983_24:00,0.624838783
03/31/1983_24:00,0.768518727
04/30/1983_24:00,0.794043622
05/31/1983_24:00,0.740410308
06/30/1983_24:00,0.690730174
07/31/1983_24:00,0.620034255
08/31/1983_24:00,0.568369822
09/30/1983_24:00,0.563531127
10/31/1983_24:00,0.53314521
11/30/1983_24:00,0.590298629
12/31/1983_24:00,0.715354999
01/31/1984_24:00,0.739896811
02/29/1984_24:00,0.738248141
03/31/1984_24:00,0.740459154
04/30/1984_24:00,0.710577731
05/31/1984_24:00,0.670329402
06/30/1984_24:00,0.624016915
07/31/1984_24:00,0.580451265
08/31/1984_24:00,0.545629755
09/30/1984_24:00,0.52456167
10/31/1984_24:00,0.515876737
11/30/1984_24:00,0.541907852
12/31/1984_24:00,0.556326863
01/31/1985_24:00,0.554600608
02/28/1985_24:00,0.553679445
03/31/1985_24:00,0.554946106
04/30/1985_24:00,0.523796419
05/31/1985_24:00,0.477928848
06/30/1985_24:00,0.420247129
07/31/1985_24:00,0.36482749
08/31/1985_24:00,0.319515725
09/30/1985_24:00,0.313636096
10/31/1985_24:00,0.292817421
11/30/1985_24:00,0.30803067
12/31/1985_24:00,0.320730333
01/31/1986_24:00,0.357690081
02/28/1986_24:00,0.52495959
03/31/1986_24:00,0.624658818
04/30/1986_24:00,0.569269646
05/31/1986_24:00,0.526634656
06/30/1986_24:00,0.479750945
07/31/1986_24:00,0.439644589
08/31/1986_24:00,0.404362744
09/30/1986_24:00,0.414767518
10/31/1986_24:00,0.391471398
11/30/1986_24:00,0.387850641
12/31/1986_24:00,0.395899098
01/31/1987_24:00,0.408604682
02/28/1987_24:00,0.423509684
03/31/1987_24:00,0.446151566
04/30/1987_24:00,0.422687323
05/31/1987_24:00,0.382838518
06/30/1987_24:00,0.332453204
07/31/1987_24:00,0.288814038
08/31/1987_24:00,0.255045179
09/30/1987_24:00,0.237019103
10/31/1987_24:00,0.231777799
11/30/1987_24:00,0.246295489
12/31/1987_24:00,0.288808487
01/31/1988_24:00,0.327670632
02/29/1988_24:00,0.334212516
03/31/1988_24:00,0.328649275
04/30/1988_24:00,0.329746825
05/31/1988_24:00,0.297303094
06/30/1988_24:00,0.248625163
07/31/1988_24:00,0.20699768
08/31/1988_24:00,0.169385051
09/30/1988_24:00,0.150698815
10/31/1988_24:00,0.131236228
11/30/1988_24:00,0.15653848
12/31/1988_24:00,0.184191251
01/31/1989_24:00,0.204593751
02/28/1989_24:00,0.222185149
03/31/1989_24:00,0.290345897
04/30/1989_24:00,0.256948686
05/31/1989_24:00,0.220695722
06/30/1989_24:00,0.171796011
07/31/1989_24:00,0.140802359
08/31/1989_24:00,0.118868617
09/30/1989_24:00,0.136785778
10/31/1989_24:00,0.147376807
11/30/1989_24:00,0.16419432
12/31/1989_24:00,0.191404519
01/31/1990_24:00,0.223002576
02/28/1990_24:00,0.236400266
03/31/1990_24:00,0.238829358
04/30/1990_24:00,0.222812373
05/31/1990_24:00,0.217648903
06/30/1990_24:00,0.16276336
07/31/1990_24:00,0.125296405
08/31/1990_24:00,0.099375563
09/30/1990_24:00,0.077446509
10/31/1990_24:00,0.066588061
11/30/1990_24:00,0.072953064
12/31/1990_24:00,0.097319228
01/31/1991_24:00,0.106860073
02/28/1991_24:00,0.115436953
03/31/1991_24:00,0.164673034
04/30/1991_24:00,0.108818592
05/31/1991_24:00,0.050965667
06/30/1991_24:00,-0.010612245
07/31/1991_24:00,-0.092807652
08/31/1991_24:00,-0.140703804
09/30/1991_24:00,-0.157024471
10/31/1991_24:00,-0.170881509
11/30/1991_24:00,-0.163165104
12/31/1991_24:00,-0.130757638
01/31/1992_24:00,-0.105751051
02/29/1992_24:00,-0.050123693
03/31/1992_24:00,-0.020304931
04/30/1992_24:00,-0.052723746
05/31/1992_24:00,-0.090477608
06/30/1992_24:00,-0.143456808
07/31/1992_24:00,-0.193668325
08/31/1992_24:00,-0.22833269
09/30/1992_24:00,-0.24739267
10/31/1992_24:00,-0.2344415
11/30/1992_24:00,-0.224214347
12/31/1992_24:00,-0.174636715
01/31/1993_24:00,-0.079972306
02/28/1993_24:00,-0.008189814
03/31/1993_24:00,0.098122224
04/30/1993_24:00,0.101999545
05/31/1993_24:00,0.122992141
06/30/1993_24:00,0.115435102
07/31/1993_24:00,0.100123422
08/31/1993_24:00,0.092378894
09/30/1993_24:00,0.078841081
10/31/1993_24:00,0.07919472
11/30/1993_24:00,0.099502611
12/31/1993_24:00,0.147602041
01/31/1994_24:00,0.175967763
02/28/1994_24:00,0.211663441
03/31/1994_24:00,0.209363371
04/30/1994_24:00,0.19853095
05/31/1994_24:00,0.171103412
06/30/1994_24:00,0.114312389
07/31/1994_24:00,0.071276272
08/31/1994_24:00,0.030920507
09/30/1994_24:00,0.009775452
10/31/1994_24:00,-0.001228423
11/30/1994_24:00,0.020970764
12/31/1994_24:00,0.059141419
01/31/1995_24:00,0.190512343
02/28/1995_24:00,0.265702323
03/31/1995_24:00,0.419194971
04/30/1995_24:00,0.442467285
05/31/1995_24:00,0.50704835
06/30/1995_24:00,0.487834556
07/31/1995_24:00,0.436634775
08/31/1995_24:00,0.406567713
09/30/1995_24:00,0.400233916
10/31/1995_24:00,0.353358593
11/30/1995_24:00,0.347333906
12/31/1995_24:00,0.390138499
01/31/1996_24:00,0.436070458
02/29/1996_24:00,0.555905877
03/31/1996_24:00,0.591218065
04/30/1996_24:00,0.570225223
05/31/1996_24:00,0.602522539
06/30/1996_24:00,0.529908189
07/31/1996_24:00,0.473112479
08/31/1996_24:00,0.422182213
09/30/1996_24:00,0.391396032
10/31/1996_24:00,0.387715205
11/30/1996_24:00,0.394062569
12/31/1996_24:00,0.521500789
01/31/1997_24:00,0.670690072
02/28/1997_24:00,0.690278967
03/31/1997_24:00,0.650778621
04/30/1997_24:00,0.591665449
05/31/1997_24:00,0.528549387
06/30/1997_24:00,0.455639988
07/31/1997_24:00,0.401956965
08/31/1997_24:00,0.3494978
09/30/1997_24:00,0.316341118
10/31/1997_24:00,0.286032294
11/30/1997_24:00,0.312481065
