,outflow_km3
2001-02-01,0.0011542465699200001
2001-03-01,0.00119148033024
2001-04-01,0.0019808360490240003
2001-05-01,0.002390407412544
2001-06-01,0.0022787061315840003
2001-07-01,0.003946778593920001
2001-08-01,0.004155287651712
2001-09-01,0.000915950503872
2001-10-01,0.0009606310162560001
2001-11-01,0.001236160842624
2001-12-01,0.001742539982976
2002-01-01,0.028185956562240003
2002-02-01,0.041724151814592
2002-03-01,0.0889886871648
2002-04-01,0.040800754558656
2002-05-01,0.0037010357758080004
2002-06-01,0.004408477221888
2002-07-01,0.0012585010988159998
2002-08-01,0.0033510384288
2002-09-01,0.003552100734528
2002-10-01,0.001064885545152
2002-11-01,0.00100531152864
2002-12-01,0.001504243916928
2003-01-01,0.037397588865408
2003-02-01,0.065963329782912
2003-03-01,0.065300568849216
2003-04-01,0.07848876675456
2003-05-01,0.064622914411392
2003-06-01,0.004773368073024
2003-07-01,0.0013850958839040002
2003-08-01,0.0013776491318400002
2003-09-01,0.0010946725534079999
2003-10-01,0.0010276517848320003
2003-11-01,0.0012659478508799998
2003-12-01,0.006970159931904
2004-01-01,0.023010463877760002
2004-02-01,0.0953184264192
2004-03-01,0.068755861806912
2004-04-01,0.023479609257792005
2004-05-01,0.0023233866439680002
2004-06-01,0.0022787061315840003
2004-07-01,0.001251054346752
2004-08-01,0.001236160842624
2004-09-01,0.0009606310162560001
2004-10-01,0.0009233972559360001
2004-11-01,0.0009085037518080001
2004-12-01,0.001176586826112
2005-01-01,0.006463780791552
2005-02-01,0.05544106911648
2005-03-01,0.10574387930880003
2005-04-01,0.07282923518592001
2005-05-01,0.06918032667456
2005-06-01,0.020091337068672003
2005-07-01,0.005801019857856001
2005-08-01,0.0018467945118720002
2005-09-01,0.0013106283632640001
2005-10-01,0.0010797790492800001
2005-11-01,0.0013553088756480002
2005-12-01,0.071548393830912
2006-01-01,0.15064779425472
2006-02-01,0.11922250054464
2006-03-01,0.1865411392032
2006-04-01,0.23442375497472
2006-05-01,0.043615626838848
2006-06-01,0.012890327822783999
2006-07-01,0.001578711437568
2006-08-01,0.00152658417312
2006-09-01,0.0014074361400959997
2006-10-01,0.0011170128096
2006-11-01,0.0012659478508799998
2006-12-01,0.0011393530657920002
2007-01-01,0.000975524520384
2007-02-01,0.031998693619008
2007-03-01,0.03094125482592
