,ssebop
2000-01-01,0.010373
2000-02-01,0.06023
2000-03-01,0.093876
2000-04-01,0.07697699999999999
2000-05-01,0.287217
2000-06-01,0.46590899999999996
2000-07-01,0.552187
2000-08-01,0.419927
2000-09-01,0.268937
2000-10-01,0.068148
2000-11-01,0.024991
2000-12-01,0.03427
2001-01-01,0.01402
2001-02-01,0.011229
2001-03-01,0.095792
2001-04-01,0.08408
2001-05-01,0.198398
2001-06-01,0.429102
2001-07-01,0.51278
2001-08-01,0.38048899999999997
2001-09-01,0.27543999999999996
2001-10-01,0.050976999999999995
2001-11-01,0.02216
2001-12-01,0.0035359999999999996
2002-01-01,0.006781
2002-02-01,0.023155
2002-03-01,0.02156
2002-04-01,0.09077299999999999
2002-05-01,0.402007
2002-06-01,0.48058599999999996
2002-07-01,0.536716
2002-08-01,0.481409
2002-09-01,0.270866
2002-10-01,0.060298
2002-11-01,0.046586999999999996
2002-12-01,0.007906
2003-01-01,0.020713
2003-02-01,0.057037
2003-03-01,0.101849
2003-04-01,0.165314
2003-05-01,0.36718799999999996
2003-06-01,0.47698799999999997
2003-07-01,0.482969
2003-08-01,0.44665499999999997
2003-09-01,0.2689
2003-10-01,0.054923
2003-11-01,0.018342999999999998
2003-12-01,0.000992
2004-01-01,0.00615
2004-02-01,0.024225
2004-03-01,0.047028
2004-04-01,0.075733
2004-05-01,0.35173699999999997
2004-06-01,0.513246
2004-07-01,0.5419959999999999
2004-08-01,0.47031199999999995
2004-09-01,0.21892499999999998
2004-10-01,0.066991
2004-11-01,0.053439999999999994
2004-12-01,0.030136
2005-01-01,0.011401
2005-02-01,0.06394899999999999
2005-03-01,0.07330199999999999
2005-04-01,0.16174
2005-05-01,0.377365
2005-06-01,0.5082329999999999
2005-07-01,0.483346
2005-08-01,0.384768
2005-09-01,0.266358
2005-10-01,0.062946
2005-11-01,0.032069
2005-12-01,0.015198
2006-01-01,0.001034
2006-02-01,0.023795
2006-03-01,0.050815
2006-04-01,0.234621
2006-05-01,0.196299
2006-06-01,0.436187
2006-07-01,0.472435
2006-08-01,0.468794
2006-09-01,0.300884
2006-10-01,0.109398
2006-11-01,0.01039
2006-12-01,0.022018
2007-01-01,0.017709
2007-02-01,0.026921
2007-03-01,0.045972
2007-04-01,0.160721
2007-05-01,0.37338699999999997
2007-06-01,0.48758399999999996
2007-07-01,0.516923
2007-08-01,0.41037599999999996
2007-09-01,0.294004
2007-10-01,0.088824
2007-11-01,0.021124
2007-12-01,0.020610999999999997
2008-01-01,0.0050869999999999995
2008-02-01,0.041159
2008-03-01,0.038706
2008-04-01,0.040942
2008-05-01,0.271378
